method,dataset,sequence,frames,MPE_m,MedPE_m,MOE_deg,MedOE_deg,recall@10m,recall@9m,recall@8m,recall@7m,recall@6m,recall@5m,recall@4m,recall@3m,recall@2m,recall@1m
LightLoc,NCLT,2012-05-26,26229,2.94,0.64,3.18,1.99,99.17,99.11,99.02,98.9,98.7,98.38,97.68,96.21,91.95,73.17
GTR-Loc,Oxford,15-13-06-37,36099,2.29,2.11,1.17,0.94,99.64,99.51,99.37,99.18,98.68,97.45,94.47,80.74,44.77,11.04
GTR-Loc,Oxford,17-13-26-39,42768,3.07,2.74,1.21,0.95,99.76,99.69,99.4,98.64,95.38,89.48,82.71,59.82,23.79,2.09
GTR-Loc,Oxford,17-14-03-00,43695,2.99,3.03,1.2,0.96,99.99,99.98,99.93,99.77,98.3,93.81,79.82,49.18,25.63,4.94
GTR-Loc,Oxford,18-14-14-42,37099,2.0,1.57,1.18,0.98,99.94,99.92,99.72,99.05,98.15,96.25,91.78,85.75,65.27,22.99
GTR-Loc,QEOxford,15-13-06-37,36099,0.77,0.55,1.02,0.86,99.78,99.68,99.52,99.4,99.29,99.13,98.6,97.81,94.72,82.82
GTR-Loc,QEOxford,17-13-26-39,42768,0.77,0.56,1.01,0.8,99.85,99.78,99.73,99.66,99.59,99.5,99.36,99.13,97.83,83.69
GTR-Loc,QEOxford,17-14-03-00,43695,0.67,0.56,1.01,0.86,100.0,99.99,99.99,99.97,99.95,99.9,99.83,99.57,98.58,84.09
GTR-Loc,QEOxford,18-14-14-42,37099,0.8,0.57,1.07,0.92,99.96,99.96,99.94,99.93,99.92,99.89,99.73,99.08,96.87,83.62
GTR-Loc,NCLT,2012-02-12,25536,0.71,0.42,2.43,1.83,99.72,99.28,98.84,98.74,98.67,98.52,98.31,97.72,96.25,87.65
GTR-Loc,NCLT,2012-02-19,26533,0.82,0.53,2.55,1.82,99.77,99.69,99.57,99.43,99.27,99.02,98.62,97.57,94.41,79.61
GTR-Loc,NCLT,2012-03-31,26195,0.62,0.43,2.33,1.75,99.92,99.9,99.87,99.83,99.74,99.61,99.41,98.63,96.82,87.6
GTR-Loc,NCLT,2012-05-26,26229,2.59,0.5,2.67,1.81,99.37,99.35,99.31,99.24,99.14,98.93,98.57,97.67,95.13,82.87
